"ID";"Nom";"Prénom";"Biographie";"Date de naissance";"Date de décès";"Alias"
"1";"Hugo";"Victor";"Victor Hugo, parfois surnommé l'Homme océan ou, de manière posthume, l'Homme siècle, est un poète, dramaturge, écrivain, romancier et dessinateur romantique français, né le 7 ventôse an X (26 février 1802) à Besançon et mort le 22 mai 1885 à Paris. Il est considéré comme l'un des écrivains de la langue française et de la littérature mondiale les plus importants. Hugo est aussi une personnalité politique et un intellectuel engagé qui a un rôle idéologique majeur et occupe une place marquante dans l'histoire des lettres françaises au xixe siècle.";"1802-02-26";"1885-05-22";
"2";"Rowling";"Joanne";"Joanne Rowling [ d͡ʒoʊˈæn ˈroʊlɪŋ]a, plus connue sous les noms de plume J. K. Rowlingb et Robert Galbraith, est une romancière et scénariste britannique née le 31 juillet 1965 dans l’agglomération de Yate (Gloucestershire du Sud). Elle doit sa notoriété mondiale à la série Harry Potter, dont les romans traduits en près de quatre-vingts langues ont été vendus à plus de 500 millions d'exemplaires dans le monde.";"1965-07-31";NULL;"J. K. Rowling"
"3";"Tolkien";"John Ronald Reuel";"John Ronald Reuel Tolkien, plus connu sous la forme J. R. R. Tolkien est un écrivain, poète, philologue, essayiste et professeur d’université britannique né le 3 janvier 1892 à Bloemfontein (État libre d'Orange) et mort le 2 septembre 1973 à Bournemouth (Royaume-Uni).

Ses deux romans les plus connus, Le Hobbit et Le Seigneur des anneaux, prennent place dans l'univers de fiction de la Terre du Milieu dont il développe la géographie, les peuples, l'histoire et les langues durant la majeure partie de sa vie.";"1892-02-03";"1973-09-02";"J. R. R. Tolkien"
"4";"Poquelin";"Jean-Baptiste ";"Jean-Baptiste Poquelin, dit Molière, baptisé le 15 janvier 1622 à l'église Saint-Eustache de Paris et mort le soir du 17 février 1673 à son domicile de la rue de Richelieu, est le plus célèbre des comédiens et dramaturges de langue française.";"1673-01-15";"1673-01-17";"Molière"
"5";"Carteron";"Marine";"Marine Carteron est une enseignante et une autrice pour la jeunesse.

Elle passe son enfance et son adolescence entre la Bretagne, la Sarthe, la Corse et les Antilles avant de faire des études d’histoire de l’Art et d’archéologie à l’Université de Tours. Enseignante de français, elle réside en Rhône-Alpes.";"1972-03-07";NULL;
"6";"Henri-Alban ";"Fournier";"Alain-Fournier, pseudonyme d'Henri-Alban Fournier, né le 3 octobre 1886 à La Chapelle-d'Angillon dans le Cher et mort au combat le 22 septembre 1914 (à 27 ans) à Saint-Remy-la-Calonne, est un écrivain français dont l'œuvre la plus marquante, restée célèbre, est Le Grand Meaulnes.";"2024-04-01";"1914-09-22";"Alain Fournier"
"7";"Riordan";"Richard Russel";"Richard Russell Rick Riordan Jr, né le 5 juin 1964 à San Antonio au Texas, est un écrivain américain. Il est notamment l'auteur des séries Percy Jackson, Héros de l'Olympe, Les Chroniques de Kane, Magnus Chase et les Dieux d'Asgard et Les Travaux d'Apollon. Il a également aidé à développer la série Les 39 Clés, publiée par Scholastic Corporation, série dont il a écrit le premier tome L'Énigme des catacombes ainsi que le onzième, La Menace Vesper.";"1964-06-05";NULL;"Rick Riordan"
"8";"Jean Claude";"Mourlevat";"Jean-Claude Mourlevat est un auteur français né à Ambert (Puy-de-Dôme) le 22 mars 1952. Il est particulièrement connu pour ses romans destinés à la jeunesse, pour lesquels il est multiprimé, notamment par le prix commémoratif Astrid-Lingren.

";"1952-03-22";NULL;
"9";"Muchamor";"Robert";"Robert Kilgore Muchamore, né à Londres le 26 décembre 1972, est un écrivain anglais, connu pour être l'auteur de la série best-seller CHERUB, une série de livres d'espionnage pour adolescents.

Robert Kilgore Muchamore a d'abord été détective privé, avant de se lancer à plein temps dans la littérature pour la jeunesse.";"1972-12-26";NULL;
"10";"Antoine";"Bello";"Son œuvre la plus connue est une trilogie, qui narre l'ascension d'un jeune Islandais dans les rangs du CFR, une organisation secrète internationale qui falsifie la réalité et réécrit l'Histoire. Le premier tome, Les Falsificateurs, est paru en 2007 ; le deuxième, Les Éclaireurs, en 2009 et le troisième, Les Producteurs, en 2015. Elle a pris une signification nouvelle avec le débat récent sur les fake news3. ";"1970-03-25";NULL;
"11";"Morpurgo";"Michael";"Michael Morpurgo, né le 5 octobre 1943 à St Albans, en Angleterre, est un auteur britannique, notamment connu pour ses ouvrages de littérature d'enfance et de jeunesse souvent liés à des événements historiques.";"1943-10-05";NULL;
"12";"Chedid";"Andrée";"Andrée Chedid (en arabe : أندريه شديد), née Andrée Saab2 (en arabe : أندريه صعب) le 20 mars 1920 au Caire (sultanat d'Égypte) et morte le 6 février 2011 à Paris 15e (France), est une femme de lettres et poétesse franco-syro-libanaise3.

Elle écrit son premier roman en 1952 et écrit des nouvelles, des poèmes, des pièces de théâtre, des romans, et de la littérature jeunesse. Elle déclare son humanisme entre autres avec son livre Le Message, écrit en 2000, en écrivant sa colère envers la guerre et la violence, à travers deux amants séparés par des guerres. Les héroïnes de ses œuvres sont décidées, prêtes à tout pour atteindre leur objectif.";"1920-03-20";"2011-02-06";
"13";"L'Homme";"Erik";"Erik L'Homme, né le 22 décembre 1967 à Grenoble, est un écrivain français qui a notamment écrit des ouvrages destinés à la jeunesse et des ouvrages de science-fiction et de fantasy.";"1967-12-22";NULL;
"14";"Bottero";"Pierre";"Pierre Bottero, né le 13 février 19641 à Barcelonnette, dans les Basses-Alpes, et mort le 8 novembre 2009 à Aix-en-Provence2, est un écrivain français de littérature jeunesse, dont les œuvres principales appartiennent au genre de la fantasy.";"1964-02-13";"2009-11-08";
"15";"Bordage";"Pierre ";"Pierre Bordage, né le 29 janvier 1955 à La Réorthe, en Vendée, est un auteur de science-fiction français. C'est avec sa trilogie Les Guerriers du silence, publiée aux éditions de l'Atalante et vendue à 50 000 exemplaires, qu'il rencontre le succès. Ce space opera ainsi que le cycle de Wang sont salués par la critique littéraire comme des œuvres majeures du renouveau de la science-fiction française des années 1990, genre qui était alors dominé par les auteurs anglophones.";"1955-01-29";NULL;
