"Nom";"Adresse"
"Bayard Jeunesse";"Bayard
18, rue Barbès
92128 Montrouge Cedex"
"Casterman";"Éditions Casterman
56 rue Saint-Lazare
75009 Paris
France"
"Dupuis";"Dupuis Édition et Audiovisuel,
57, rue Gaston Tessier CS50061
75166 Paris CEDEX 19"
"Édition du Rouergue";"Éditions du Rouergue
47, rue du Docteur Fanton
BP 90038
13633 Arles cedex"
"Flammarion";"Éditions Flammarion
82, rue Saint-Lazare CS 10124
75009 Paris."
"Gallimard";"Éditions Gallimard
5 rue Gaston-Gallimard
75328 Paris cedex 07 FRANC"
"Hachette";"58, Rue Jean Bleuzen
CS 70007
92 178 Vanves CEDEX
France"
"HarperCollins";"HarperCollins France Service Ressources Humaines 83-85 boulevard Vincent Auriol 75646 PARIS CEDEX 13"
"Nathan";"Relation Enseignants Nathan
BP 20073
13321 MARSEILLE cedex 16"
"Pocket Jeunesse";"92 avenue de France, 75013 Paris, France"
"Rageot";"Rageot Éditeur
8 rue d’Assas
75006 PARIS

"
"Wellan Inc";"Wellan Inc.
257 Boul. Sir Wilfrid-Laurier
CP 85059 - PJC
Mont-Saint-Hilaire, QC
J3H 5W1"
